flag (9),Image0.jpg,"0,1896:0,6720:26022,1868:20813,3806:3261,3867:0,1704:0,2253:0,1586:0,289:0,222:0,413:0,230:0,700:14005,0:0,345:53499,1164:4181,2571:0,2760:0,2042:0,637:0,509:0,435:0,334:0,382:0,355:0,855:0,757:0,1665:0,4184:11797,1873:0,1531:0,267:0,4:0,279:0,20:0,289:0,12:0,131:0,190:0,63:0,785:0,2300:6047,5544:69605,596:0,2337:"
flag (9),Image1.jpg,"0,2061:3274,4017:16538,1696:7049,9100:27874,1039:0,4209:0,418:0,315:0,305:0,257:0,338:0,288:0,1186:7599,2293:0,144:26776,4913:28273,1465:0,4914:0,665:0,532:0,461:0,410:0,366:0,398:0,379:0,459:0,467:0,912:0,1928:14638,2044:0,1502:0,211:0,89:0,301:0,18:0,264:0,30:0,183:0,167:0,326:0,411:0,758:21607,4278:53671,4783:0,1401:"
horse (1),Image0.jpg,"0,1192:3563,9100:15507,4001:4906,10377:7137,6960:0,9231:0,7230:0,5607:0,2993:0,1065:0,457:0,315:0,228:0,103:0,28:0,40:0,2830:0,6479:5984,1582:5510,4611:0,9094:3268,7809:0,11937:0,9875:0,8423:4474,3300:0,3971:0,569:0,152:0,92:0,42:0,1197:0,3802:0,7521:5117,7130:3856,10886:4337,10760:0,11785:0,10791:0,7482:0,3779:0,935:0,329:0,164:0,87:"
horse (10),Image0.jpg,"0,4:0,1830:14834,4790:16707,8271:7446,8547:4166,5630:0,5581:0,3190:0,1996:0,1603:0,1398:0,1085:0,1389:0,1154:0,379:0,0:0,21:0,712:0,2129:0,5102:0,11314:12690,10312:10757,12333:3097,9461:0,5840:0,2059:0,1424:0,1179:0,1115:0,455:0,0:0,18:0,585:0,3878:4612,11090:12596,12144:7664,11587:0,10984:0,6123:0,2977:0,1606:0,1352:0,1063:0,1019:0,702:"
horse (2),Image0.jpg,"6581,6436:10362,3637:0,10252:11021,6676:0,14738:0,5052:0,2182:0,1540:0,1384:0,1530:0,1469:0,1666:0,1704:0,1643:0,2127:0,3840:0,7044:0,8238:0,6358:0,5300:0,6372:5807,6864:4884,11506:0,11116:0,3786:0,1937:0,2041:0,2101:0,1854:0,952:4343,2548:3024,6793:3190,4584:0,5736:0,6302:5346,6428:4655,11152:0,10792:0,4096:0,2291:0,1726:0,2013:0,2149:0,2251:0,581:"
horse (2),Image1.jpg,"0,17:0,2478:4785,6990:21223,3927:9869,13199:11237,4903:0,9635:0,1550:0,172:0,15:0,0:0,0:0,0:0,0:0,0:0,0:0,428:0,1758:0,4094:3952,3095:0,7195:0,8306:0,11291:0,17937:13803,8302:0,9086:0,731:0,22:0,0:0,0:0,0:0,58:0,1322:0,2499:0,4390:3103,3856:0,7249:0,8536:0,8619:0,10536:0,13639:7698,7060:0,9279:0,1883:0,273:"
horse (2),Image2.jpg,"0,88:0,4540:4477,12182:3648,15604:0,11880:0,10387:0,9978:0,7738:0,4781:0,2722:0,1244:0,412:0,185:0,86:0,48:0,11:0,611:0,1791:0,3506:0,5270:0,8102:0,10925:0,13797:0,16349:0,13862:0,8868:0,4480:0,1782:0,506:0,140:0,27:0,1451:0,7018:0,12064:0,13227:0,11744:0,11141:0,11343:0,9045:0,5691:0,3183:0,1943:0,1227:0,657:0,239:"
horse (3),Image0.jpg,"0,981:0,3751:0,7705:0,13620:3368,15742:10802,11247:4390,8305:0,3715:0,1050:0,778:0,749:0,1109:0,1272:0,710:0,706:0,0:0,58:0,565:0,1323:0,2859:0,5103:0,8435:0,13952:3270,15395:15843,7167:0,11525:0,2042:0,1246:0,635:0,582:0,196:0,1031:0,2304:0,4621:0,8530:0,12434:0,16298:9571,10532:6139,9751:0,3763:0,837:0,1203:0,1299:0,787:0,704:"
horse (4),Image0.jpg,"0,1:0,2615:0,3512:0,7508:5479,14485:23883,6976:4092,13852:0,4626:0,1088:0,725:0,433:0,272:0,177:0,274:0,2:0,0:0,1908:0,1738:0,2827:0,3698:0,6595:0,9703:4353,9186:4063,10745:9768,7736:3823,9836:0,3516:0,425:0,80:0,0:0,0:0,1308:0,1735:0,2399:0,4710:0,8050:5140,10834:9742,12501:0,15682:0,5682:0,5148:0,4598:0,2269:0,193:0,9:"
horse (4),Image1.jpg,"3495,2476:0,7616:5614,3524:0,6292:0,6213:17702,9246:16818,7221:0,2800:0,572:0,224:0,139:0,46:0,2:0,0:0,0:0,3530:0,3796:0,4675:0,5288:0,5958:0,5058:0,3573:0,3118:0,4326:0,17986:27626,2376:0,2532:0,111:0,46:0,1:0,4993:0,4838:0,6205:3829,3312:0,4522:0,2651:0,2676:0,5329:15207,7809:16452,7299:0,3296:0,551:0,445:0,319:0,267:"
